Orthogroup	adv	ath	aza	azd	azi	Total
OG0000111	0	38	0	0	0	38
OG0000112	0	38	0	0	0	38
OG0000113	0	38	0	0	0	38
OG0000114	0	38	0	0	0	38
OG0000115	0	38	0	0	0	38
OG0000116	0	38	0	0	0	38
OG0000117	0	38	0	0	0	38
OG0000118	0	38	0	0	0	38
OG0000119	0	37	0	0	0	37
OG0000120	0	37	0	0	0	37
OG0000121	0	37	0	0	0	37
OG0000122	0	37	0	0	0	37
OG0000123	0	37	0	0	0	37
OG0000124	0	37	0	0	0	37
OG0000125	0	37	0	0	0	37
OG0000126	0	36	0	0	0	36
OG0000127	0	36	0	0	0	36
OG0000128	0	36	0	0	0	36
OG0000129	0	36	0	0	0	36
OG0000130	0	36	0	0	0	36
OG0000131	0	36	0	0	0	36
OG0000132	0	36	0	0	0	36
OG0000133	3	26	3	1	2	35
OG0000134	1	0	32	2	0	35
OG0000135	0	35	0	0	0	35
OG0000136	0	35	0	0	0	35
OG0000137	0	35	0	0	0	35
OG0000138	0	35	0	0	0	35
OG0000139	0	35	0	0	0	35
OG0000140	0	35	0	0	0	35
OG0000141	0	35	0	0	0	35
OG0000142	0	35	0	0	0	35
OG0000143	0	35	0	0	0	35
OG0000144	0	35	0	0	0	35
OG0000145	0	35	0	0	0	35
OG0000146	0	35	0	0	0	35
OG0000147	0	35	0	0	0	35
OG0000148	2	23	3	3	3	34
OG0000149	0	34	0	0	0	34
OG0000150	0	34	0	0	0	34
OG0000151	0	34	0	0	0	34
OG0000152	0	34	0	0	0	34
OG0000153	0	34	0	0	0	34
OG0000154	0	34	0	0	0	34
OG0000155	0	34	0	0	0	34
OG0000156	0	34	0	0	0	34
OG0000157	0	33	0	0	1	34
OG0000158	0	34	0	0	0	34
OG0000159	0	34	0	0	0	34
OG0000160	0	34	0	0	0	34
OG0000161	0	33	0	0	0	33
OG0000162	0	33	0	0	0	33
OG0000163	0	33	0	0	0	33
OG0000164	0	33	0	0	0	33
OG0000165	0	33	0	0	0	33
OG0000166	0	33	0	0	0	33
OG0000167	0	33	0	0	0	33
OG0000168	0	33	0	0	0	33
OG0000169	0	33	0	0	0	33
OG0000170	0	33	0	0	0	33
OG0000171	0	33	0	0	0	33
OG0000172	0	33	0	0	0	33
OG0000173	0	33	0	0	0	33
OG0000174	0	32	0	0	0	32
OG0000175	0	32	0	0	0	32
OG0000176	0	32	0	0	0	32
OG0000177	0	32	0	0	0	32
OG0000178	0	32	0	0	0	32
OG0000179	0	32	0	0	0	32
OG0000180	0	32	0	0	0	32
OG0000181	0	32	0	0	0	32
OG0000182	0	32	0	0	0	32
OG0000183	0	32	0	0	0	32
OG0000184	0	32	0	0	0	32
OG0000185	0	32	0	0	0	32
OG0000186	0	32	0	0	0	32
OG0000187	0	32	0	0	0	32
OG0000188	2	24	2	2	1	31
OG0000189	0	31	0	0	0	31
OG0000190	0	31	0	0	0	31
OG0000191	0	31	0	0	0	31
OG0000192	0	31	0	0	0	31
OG0000193	0	31	0	0	0	31
OG0000194	0	31	0	0	0	31
OG0000195	0	31	0	0	0	31
OG0000196	0	30	0	0	0	30
OG0000197	0	30	0	0	0	30
OG0000198	0	30	0	0	0	30
OG0000199	0	30	0	0	0	30
OG0000200	0	30	0	0	0	30
OG0000201	0	30	0	0	0	30
OG0000202	0	30	0	0	0	30
OG0000203	0	30	0	0	0	30
OG0000204	0	30	0	0	0	30
OG0000205	0	30	0	0	0	30
OG0000206	0	30	0	0	0	30
OG0000207	0	30	0	0	0	30
OG0000208	0	30	0	0	0	30
OG0000209	0	30	0	0	0	30
OG0000210	0	30	0	0	0	30
OG0000211	0	30	0	0	0	30
OG0000212	0	30	0	0	0	30
OG0000213	0	30	0	0	0	30
OG0000214	0	29	0	0	0	29
OG0000215	0	29	0	0	0	29
OG0000216	0	29	0	0	0	29
OG0000217	0	29	0	0	0	29
OG0000218	0	29	0	0	0	29
OG0000219	0	29	0	0	0	29
OG0000220	0	29	0	0	0	29
OG0000221	0	29	0	0	0	29
OG0000222	0	29	0	0	0	29
OG0000223	0	29	0	0	0	29
OG0000224	1	27	0	0	0	28
OG0000225	1	24	1	1	1	28
OG0000226	0	28	0	0	0	28
OG0000227	0	28	0	0	0	28
OG0000228	0	28	0	0	0	28
OG0000229	0	28	0	0	0	28
OG0000230	0	28	0	0	0	28
OG0000231	0	28	0	0	0	28
OG0000232	0	28	0	0	0	28
OG0000233	0	28	0	0	0	28
OG0000234	0	22	3	1	2	28
OG0000235	0	28	0	0	0	28
OG0000236	0	28	0	0	0	28
OG0000237	0	28	0	0	0	28
OG0000238	0	28	0	0	0	28
OG0000239	0	28	0	0	0	28
OG0000240	0	28	0	0	0	28
OG0000241	0	28	0	0	0	28
OG0000242	0	28	0	0	0	28
OG0000243	0	28	0	0	0	28
OG0000244	0	28	0	0	0	28
OG0000245	0	28	0	0	0	28
OG0000246	1	23	1	1	1	27
OG0000247	0	27	0	0	0	27
OG0000248	0	27	0	0	0	27
OG0000249	0	27	0	0	0	27
OG0000250	0	27	0	0	0	27
OG0000251	0	27	0	0	0	27
OG0000252	0	27	0	0	0	27
OG0000253	0	27	0	0	0	27
OG0000254	0	27	0	0	0	27
OG0000255	0	27	0	0	0	27
OG0000256	0	27	0	0	0	27
OG0000257	0	27	0	0	0	27
OG0000258	0	27	0	0	0	27
OG0000259	0	27	0	0	0	27
OG0000260	0	27	0	0	0	27
OG0000261	0	27	0	0	0	27
OG0000262	0	27	0	0	0	27
OG0000263	0	27	0	0	0	27
OG0000264	0	27	0	0	0	27
OG0000265	1	25	0	0	0	26
OG0000266	1	25	0	0	0	26
OG0000267	0	26	0	0	0	26
OG0000268	0	26	0	0	0	26
OG0000269	0	23	3	0	0	26
OG0000270	0	26	0	0	0	26
OG0000271	0	26	0	0	0	26
OG0000272	0	26	0	0	0	26
OG0000273	0	26	0	0	0	26
OG0000274	0	26	0	0	0	26
OG0000275	0	26	0	0	0	26
OG0000276	0	26	0	0	0	26
OG0000277	0	26	0	0	0	26
OG0000278	0	26	0	0	0	26
OG0000279	0	26	0	0	0	26
OG0000280	0	26	0	0	0	26
OG0000281	0	26	0	0	0	26
OG0000282	0	26	0	0	0	26
OG0000283	0	26	0	0	0	26
OG0000284	0	26	0	0	0	26
OG0000285	0	26	0	0	0	26
OG0000286	0	26	0	0	0	26
OG0000287	0	26	0	0	0	26
OG0000288	0	26	0	0	0	26
OG0000289	0	26	0	0	0	26
OG0000290	0	26	0	0	0	26
OG0000291	0	26	0	0	0	26
OG0000292	0	26	0	0	0	26
OG0000293	0	26	0	0	0	26
OG0000294	0	26	0	0	0	26
OG0000295	0	25	1	0	0	26
OG0000296	0	26	0	0	0	26
OG0000297	0	26	0	0	0	26
OG0000298	2	19	1	1	2	25
OG0000299	1	10	5	3	6	25
OG0000300	1	21	1	1	1	25
OG0000301	0	25	0	0	0	25
OG0000302	0	25	0	0	0	25
OG0000303	0	25	0	0	0	25
OG0000304	0	25	0	0	0	25
OG0000305	0	25	0	0	0	25
OG0000306	0	25	0	0	0	25
OG0000307	0	25	0	0	0	25
OG0000308	0	25	0	0	0	25
OG0000309	0	25	0	0	0	25
